wl	PWM255
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	11.14
200.755	32.45
201.219	21.46
201.684	26.52
202.148	19.67
202.612	15.03
203.076	9.59
203.54	11.64
204.004	17.32
204.468	15.61
204.932	9.89
205.396	1.71
205.86	12.7
206.324	6.63
206.788	10.48
207.251	5.9
207.715	11.67
208.179	-0.28
208.642	15.71
209.106	12.13
209.57	-2.11
210.033	5.91
210.497	5.63
210.96	2.03
211.424	1.33
211.887	1.65
212.35	2.83
212.814	7.43
213.277	8.34
213.74	7.16
214.203	-1.16
214.667	1.26
215.13	3.17
215.593	1.39
216.056	6.2
216.519	2.84
216.982	2.06
217.445	7.64
217.908	5.78
218.37	4.44
218.833	4.54
219.296	6.7
219.759	4.43
220.221	2.96
220.684	0.27
221.147	3.01
221.609	3.52
222.072	4.46
222.534	5.83
222.997	0.75
223.459	3.46
223.922	3.97
224.384	0.71
224.846	4.25
225.309	2.7
225.771	0.31
226.233	1.81
226.695	6.5
227.157	-0.32
227.619	3.42
228.081	2.22
228.543	3.75
229.005	5.38
229.467	2.9
229.929	3.27
230.391	2.89
230.853	1.72
231.315	0.76
231.776	1.4
232.238	1.93
232.7	3.34
233.161	1.19
233.623	2.2
234.084	2.06
234.546	1.57
235.007	1.44
235.469	1.2
235.93	1.53
236.391	1.33
236.853	2.56
237.314	2.74
237.775	2.63
238.236	1.21
238.697	1.34
239.159	1.2
239.62	1.31
240.081	3.09
240.542	0.85
241.003	3.36
241.463	1.67
241.924	1.27
242.385	0.41
242.846	1.92
243.307	3.28
243.767	2.11
244.228	0.34
244.689	1.96
245.149	1.77
245.61	1.75
246.07	-0.46
246.531	2.3
246.991	2.07
247.451	1.86
247.912	0.86
248.372	1.32
248.832	1.09
249.293	1.23
249.753	2.35
250.213	0.49
250.673	1.65
251.133	0.94
251.593	1.79
252.053	2.34
252.513	1.02
252.973	2.36
253.433	1.23
253.893	0.88
254.352	1.2
254.812	1.21
255.272	2
255.732	1.84
256.191	1.24
256.651	1.31
257.11	3.47
257.57	1.37
258.029	2.02
258.489	0.09
258.948	1.14
259.407	1.42
259.867	-0.44
260.326	1.48
260.785	2.04
261.244	1.2
261.703	0.9
262.163	1.53
262.622	1
263.081	0.82
263.54	1.41
263.999	1.07
264.457	2.21
264.916	-0.24
265.375	2.35
265.834	1.34
266.293	0.73
266.751	1.56
267.21	1.19
267.669	0.65
268.127	1.3
268.586	1.05
269.044	1.15
269.503	-0.18
269.961	0.73
270.419	0.41
270.878	0.35
271.336	1.77
271.794	1.44
272.252	1.34
272.711	1.29
273.169	0.27
273.627	0.3
274.085	1.38
274.543	1.68
275.001	1.29
275.459	0.36
275.917	1.95
276.374	0.9
276.832	1.18
277.29	1.07
277.748	1.25
278.205	1.24
278.663	1.49
279.121	1.38
279.578	1.26
280.036	1.7
280.493	1.06
280.951	0.15
281.408	0.28
281.865	1.04
282.323	0.63
282.78	0.59
283.237	0.52
283.694	0.93
284.151	1.24
284.609	1.03
285.066	0.94
285.523	0.26
285.98	1.26
286.437	0.9
286.893	0.01
287.35	0.8
287.807	1.18
288.264	1.88
288.721	0.86
289.177	0.31
289.634	0.38
290.09	1.05
290.547	1.07
291.004	1.7
291.46	1.1
291.916	0.57
292.373	0.78
292.829	1.83
293.286	0.72
293.742	1.05
294.198	1.06
294.654	0.55
295.11	0.89
295.566	0.11
296.022	0.81
296.478	0.84
296.934	0.6
297.39	0.47
297.846	1.47
298.302	0.95
298.758	0.87
299.214	1.13
299.669	1.31
300.125	0.48
