wl	PWM218
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	8.58
200.755	35.27
201.219	17.59
201.684	21.92
202.148	20.18
202.612	12.37
203.076	7.2
203.54	9.89
204.004	16.4
204.468	13.38
204.932	7.53
205.396	2.16
205.86	14.97
206.324	7.77
206.788	8.43
207.251	5.79
207.715	10.44
208.179	-1.99
208.642	14.57
209.106	9.29
209.57	-2.07
210.033	5.96
210.497	6.76
210.96	-0.24
211.424	1.62
211.887	2.84
212.35	2.42
212.814	7.85
213.277	7.75
213.74	7.89
214.203	-1.25
214.667	2.42
215.13	3.59
215.593	-0.53
216.056	7.28
216.519	2.18
216.982	1.09
217.445	6.66
217.908	3.67
218.37	2.85
218.833	4.13
219.296	7
219.759	3.61
220.221	2.78
220.684	0.28
221.147	2.5
221.609	2.61
222.072	4.14
222.534	5.53
222.997	1.18
223.459	3.9
223.922	3.92
224.384	1.57
224.846	3.22
225.309	2.36
225.771	1.27
226.233	0.85
226.695	5.85
227.157	-0.68
227.619	3.13
228.081	2.26
228.543	3.88
229.005	4.71
229.467	2.93
229.929	3.49
230.391	2.58
230.853	1.21
231.315	-0.04
231.776	1.27
232.238	1.32
232.7	2.21
233.161	0.61
233.623	2.45
234.084	1.96
234.546	1.61
235.007	1.52
235.469	0.85
235.93	1.45
236.391	1.11
236.853	2.19
237.314	2.41
237.775	2.29
238.236	1.03
238.697	1.5
239.159	0.85
239.62	1.16
240.081	3.09
240.542	0.57
241.003	2.6
241.463	1.6
241.924	1.3
242.385	0.84
242.846	1.22
243.307	2.95
243.767	1.81
244.228	0.17
244.689	1.33
245.149	1.69
245.61	1.84
246.07	-0.58
246.531	2.04
246.991	2.02
247.451	1.95
247.912	0.67
248.372	1.16
248.832	1.24
249.293	1.03
249.753	2.24
250.213	0.75
250.673	1.17
251.133	0.91
251.593	1.95
252.053	2.19
252.513	0.92
252.973	2.29
253.433	1.03
253.893	0.96
254.352	1.17
254.812	0.88
255.272	1.99
255.732	1.67
256.191	0.99
256.651	1.13
257.11	3.06
257.57	1.08
258.029	1.67
258.489	0.05
258.948	0.91
259.407	1.42
259.867	-0.1
260.326	1.21
260.785	1.67
261.244	1.24
261.703	0.77
262.163	1.31
262.622	0.82
263.081	0.9
263.54	1.13
263.999	0.86
264.457	2.19
264.916	-0.32
265.375	2.15
265.834	1.07
266.293	0.71
266.751	1.11
267.21	1.36
267.669	0.44
268.127	0.93
268.586	1.16
269.044	1.23
269.503	-0.21
269.961	0.85
270.419	0.53
270.878	0.31
271.336	1.59
271.794	1.43
272.252	1.21
272.711	1.38
273.169	0.13
273.627	0.06
274.085	1.19
274.543	1.59
275.001	0.93
275.459	0.55
275.917	1.48
276.374	0.89
276.832	1.21
277.29	0.71
277.748	1.1
278.205	1
278.663	1.13
279.121	1.02
279.578	0.84
280.036	1.63
280.493	1.03
280.951	0.09
281.408	0.22
281.865	0.73
282.323	0.57
282.78	0.37
283.237	0.69
283.694	0.87
284.151	1.21
284.609	0.72
285.066	0.82
285.523	0.2
285.98	1.29
286.437	0.94
286.893	0.19
287.35	0.7
287.807	0.99
288.264	1.58
288.721	0.73
289.177	0.17
289.634	0.36
290.09	0.74
290.547	1.04
291.004	1.56
291.46	0.84
291.916	0.53
292.373	0.64
292.829	1.69
293.286	0.57
293.742	1.11
294.198	1.02
294.654	0.55
295.11	0.73
295.566	-0.05
296.022	0.64
296.478	0.64
296.934	0.38
297.39	0.46
297.846	1.39
298.302	1.02
298.758	0.86
299.214	1.15
299.669	1.16
