wl	PWM32
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	-11.64
200.755	14.34
201.219	2.83
201.684	8.81
202.148	5.47
202.612	0.19
203.076	-5.96
203.54	0.97
204.004	7.62
204.468	5.02
204.932	-1.75
205.396	-6.86
205.86	5.27
206.324	-0.96
206.788	2.66
207.251	-1.68
207.715	5.94
208.179	-8.1
208.642	8.93
209.106	4.86
209.57	-6.43
210.033	-0.47
210.497	0.88
210.96	-3.96
211.424	-3.11
211.887	-3.35
212.35	-3.19
212.814	3.21
213.277	4.29
213.74	2.52
214.203	-5.32
214.667	-1.81
215.13	-1.01
215.593	-4.5
216.056	2.76
216.519	-1.46
216.982	-1.23
217.445	3.56
217.908	1.35
218.37	-0.05
218.833	0.61
219.296	3.4
219.759	0.44
220.221	-0.95
220.684	-3.08
221.147	-0.55
221.609	-0.8
222.072	1.74
222.534	2.81
222.997	-1.86
223.459	0.52
223.922	1.52
224.384	-2.07
224.846	0.58
225.309	-0.2
225.771	-1.55
226.233	-1.57
226.695	3.07
227.157	-2.81
227.619	0.16
228.081	-0.1
228.543	0.96
229.005	2.64
229.467	0.44
229.929	0.84
230.391	1.18
230.853	-0.59
231.315	-1.41
231.776	-0.91
232.238	-0.73
232.7	0.78
233.161	-0.98
233.623	0.08
234.084	-0.03
234.546	-0.55
235.007	0.21
235.469	-0.65
235.93	-0.27
236.391	-0.46
236.853	0.77
237.314	0.72
237.775	0.94
238.236	-0.53
238.697	-0.42
239.159	-0.44
239.62	-0.25
240.081	1.33
240.542	-0.96
241.003	1.16
241.463	0.3
241.924	-0.43
242.385	-1.15
242.846	0.12
243.307	2.36
243.767	0.23
244.228	-1.06
244.689	0.65
245.149	0.06
245.61	0.19
246.07	-2.4
246.531	0.79
246.991	0.6
247.451	0.63
247.912	-0.37
248.372	-0.12
248.832	-0.19
249.293	-0.14
249.753	0.9
250.213	-0.64
250.673	0.23
251.133	-0.15
251.593	0.53
252.053	1
252.513	-0.32
252.973	1.17
253.433	-0.35
253.893	-0.14
254.352	-0.01
254.812	-0.22
255.272	0.75
255.732	0.91
256.191	-0.15
256.651	0.13
257.11	1.93
257.57	0.08
258.029	0.66
258.489	-0.96
258.948	0.08
259.407	0.41
259.867	-1.64
260.326	0.21
260.785	1.17
261.244	0.27
261.703	-0.11
262.163	0.89
262.622	-0.17
263.081	-0.1
263.54	0.45
263.999	0.04
264.457	1.02
264.916	-1.19
265.375	1.21
265.834	0.49
266.293	-0.38
266.751	0.27
267.21	0.44
267.669	-0.06
268.127	0.21
268.586	0.3
269.044	0.66
269.503	-0.94
269.961	0.03
270.419	-0.24
270.878	-0.29
271.336	0.8
271.794	0.67
272.252	0.53
272.711	0.33
273.169	-0.52
273.627	-0.78
274.085	0.55
274.543	1.06
275.001	0.3
275.459	-0.69
275.917	0.93
276.374	0.09
276.832	0.32
277.29	0.27
277.748	0.36
278.205	0.19
278.663	0.5
279.121	0.33
279.578	0.35
280.036	0.99
280.493	0.18
280.951	-0.76
281.408	-0.35
281.865	0.27
282.323	-0.07
282.78	-0.14
283.237	-0.12
283.694	0.14
284.151	0.54
284.609	0.06
285.066	0.25
285.523	-0.56
285.98	0.42
286.437	0.19
286.893	-0.74
287.35	0.22
287.807	0.34
288.264	0.89
288.721	0.04
289.177	-0.38
289.634	-0.05
290.09	0.28
290.547	0.24
291.004	1
291.46	0.2
291.916	0.03
292.373	-0.18
292.829	1.18
293.286	-0.03
293.742	0.56
294.198	0.2
294.654	0.04
295.11	0.09
295.566	-0.5
