wl	PWM72
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	-3.15
200.755	18.38
201.219	4.44
201.684	8.44
202.148	8.46
202.612	1.01
203.076	-3.38
203.54	0.56
204.004	7.97
204.468	4.34
204.932	0.97
205.396	-8.25
205.86	7.89
206.324	1.13
206.788	1.12
207.251	-0.19
207.715	5.87
208.179	-6.05
208.642	10.38
209.106	5.95
209.57	-6
210.033	0.64
210.497	1.45
210.96	-2.16
211.424	-2.43
211.887	-2.8
212.35	-1.84
212.814	3.33
213.277	4.78
213.74	4.82
214.203	-4.72
214.667	-1.86
215.13	0.64
215.593	-4.23
216.056	2.51
216.519	-0.46
216.982	-1.66
217.445	5.21
217.908	1.5
218.37	2.05
218.833	1.02
219.296	4.16
219.759	1.95
220.221	-0.05
220.684	-3.25
221.147	-0.53
221.609	0.06
222.072	1.56
222.534	3.44
222.997	-0.74
223.459	1.59
223.922	1.27
224.384	-0.91
224.846	1.45
225.309	0.34
225.771	-1.72
226.233	-1.1
226.695	3.79
227.157	-2.36
227.619	0.57
228.081	0.16
228.543	1.86
229.005	2.76
229.467	0.87
229.929	1.28
230.391	1.44
230.853	-0.41
231.315	-1.41
231.776	-0.56
232.238	-0.06
232.7	1.18
233.161	-0.77
233.623	0.63
234.084	0.6
234.546	0.07
235.007	-0.13
235.469	-0.84
235.93	-0.51
236.391	-0.2
236.853	0.88
237.314	1.07
237.775	0.98
238.236	-0.42
238.697	-0.33
239.159	-0.19
239.62	-0.13
240.081	1.13
240.542	-0.41
241.003	1.56
241.463	1
241.924	0
242.385	-0.75
242.846	0.52
243.307	1.99
243.767	0.58
244.228	-0.79
244.689	0.96
245.149	0.53
245.61	0.94
246.07	-1.87
246.531	1.13
246.991	0.83
247.451	0.67
247.912	-0.07
248.372	0.31
248.832	0.15
249.293	-0.09
249.753	1.14
250.213	-0.72
250.673	-0.04
251.133	0.12
251.593	0.68
252.053	1.37
252.513	0.15
252.973	1.23
253.433	0.14
253.893	-0.23
254.352	0.38
254.812	0.05
255.272	1.32
255.732	0.67
256.191	0.07
256.651	0.35
257.11	2.33
257.57	0.34
258.029	0.83
258.489	-0.79
258.948	0.12
259.407	0.64
259.867	-1.39
260.326	0.38
260.785	0.78
261.244	0.69
261.703	0
262.163	0.91
262.622	0.16
263.081	-0.05
263.54	0.43
263.999	0.27
264.457	1.35
264.916	-1.26
265.375	1.47
265.834	0.72
266.293	0.01
266.751	0.48
267.21	0.64
267.669	0.19
268.127	0.11
268.586	0.31
269.044	0.44
269.503	-1.11
269.961	0.2
270.419	-0.17
270.878	-0.33
271.336	0.77
271.794	0.67
272.252	0.61
272.711	0.86
273.169	-0.26
273.627	-0.53
274.085	0.83
274.543	1.24
275.001	0.44
275.459	-0.36
275.917	0.79
276.374	0.2
276.832	0.45
277.29	0.3
277.748	0.46
278.205	0.57
278.663	0.39
279.121	0.43
279.578	0.59
280.036	1.1
280.493	0.51
280.951	-0.54
281.408	-0.38
281.865	0.35
282.323	0.04
282.78	-0.12
283.237	-0.03
283.694	0.38
284.151	0.64
284.609	0.25
285.066	0.38
285.523	-0.26
285.98	0.53
286.437	0.11
286.893	-0.43
287.35	0.04
287.807	0.31
288.264	1.22
288.721	0.32
289.177	-0.26
289.634	-0.1
290.09	0.47
290.547	0.33
291.004	0.85
291.46	0.42
291.916	-0.17
292.373	0.06
292.829	1.29
293.286	0.13
293.742	0.46
294.198	0.49
294.654	-0.01
295.11	0.38
295.566	-0.66
296.022	0.08
296.478	0.18
296.934	0.01
