wl	PWM109
368.441	-0.3
368.89	0.38
369.339	0
369.788	0.14
370.237	-0.01
370.686	0.55
371.135	-0.32
371.584	0.05
372.033	0.05
372.482	0.59
372.93	0.75
373.379	0.28
373.827	0.06
374.276	-0.27
374.725	0.74
375.173	0.4
375.621	-0.08
376.07	0.22
376.518	-0.09
376.966	-0.33
377.415	0.2
377.863	0.45
378.311	-0.07
378.759	0.01
379.207	0.47
379.655	0.51
380.103	-0.43
380.551	0.21
380.999	0.36
381.447	-0.07
381.895	-0.06
382.342	0.1
382.79	-0.13
383.238	0.56
383.685	0.18
384.133	-0.08
384.58	0.05
385.028	0.36
385.475	0.12
385.923	-0.07
386.37	-0.35
386.817	0.16
387.265	0.33
387.712	0.25
388.159	0.25
388.606	0.32
389.053	0.18
389.5	-0.01
389.947	-0.39
390.394	-0.14
390.841	0.13
391.288	0.05
391.735	0.14
392.181	0.37
392.628	-0.01
393.075	0.01
393.521	0.01
393.968	0.15
394.414	0.57
394.861	0.23
395.307	0.08
395.754	0.1
396.2	0.35
396.646	-0.18
397.093	-0.2
397.539	-0.22
397.985	-0.18
398.431	0.64
398.877	0.42
399.323	0.41
399.769	0.18
400.215	0.24
400.661	0.18
401.107	0.29
401.552	0.43
401.998	-0.02
402.444	0.15
402.889	0.18
403.335	-0.21
403.781	0.41
404.226	0.06
404.672	0.29
405.117	0.59
405.562	0.4
406.008	0.41
406.453	0.53
406.898	0.38
407.343	0.19
407.789	0.17
408.234	0.1
408.679	0.37
409.124	0.54
409.569	0.12
410.014	0.32
410.458	-0.01
410.903	0.09
411.348	-0.04
411.793	0.15
412.237	0.85
412.682	0.89
413.127	0.67
413.571	0.45
414.016	0.14
414.46	0.23
414.904	0.46
415.349	0.94
415.793	-0.05
416.237	0.45
416.682	-0.1
417.126	0.31
417.57	0.29
418.014	0.87
418.458	0.29
418.902	0.44
419.346	0.61
419.79	0.76
420.233	0.9
420.677	0.24
421.121	0.33
421.565	0.7
422.008	1.17
422.452	0.7
422.895	0.99
423.339	0.86
423.782	1.41
424.226	1.37
424.669	1.61
425.113	1.67
425.556	1.24
425.999	1.54
426.442	1.61
426.885	2.14
427.328	2.35
427.771	2.76
428.214	2.65
428.657	2.55
429.1	3.26
429.543	3.45
429.986	3.42
430.429	3.52
430.871	3.28
431.314	4.31
431.757	4.62
432.199	4.51
432.642	5.41
433.084	5.66
433.527	5.49
433.969	6.06
434.411	6.43
434.854	6.81
435.296	7.49
435.738	7.63
436.18	8.35
436.622	9.24
437.064	9.53
437.506	10.57
437.948	11.11
438.39	12.04
438.832	12.57
439.274	13.72
439.715	14.58
440.157	15.33
440.599	16.67
441.04	17.84
441.482	19.25
441.924	19.53
442.365	21.68
442.806	23.22
443.248	24.13
443.689	26.21
444.13	27.48
444.572	29.53
445.013	31.66
445.454	33.77
445.895	36.43
446.336	38.23
446.777	40.74
447.218	42.67
447.659	46.49
448.1	48.96
448.54	51.42
448.981	55.38
449.422	58.67
449.863	62.12
450.303	65.9
450.744	69.4
451.184	72.73
451.625	77.39
452.065	82.36
452.505	86.48
452.946	90.47
453.386	94.37
453.826	98.4
454.266	103.04
454.707	108.39
455.147	111.39
455.587	116.61
456.027	118.99
456.467	124.93
456.906	126.71
457.346	130.77
457.786	132.24
458.226	135.48
458.666	138.07
459.105	140.83
459.545	141.59
459.984	143.64
460.424	143.88
460.863	143.04
461.303	143.58
461.742	142.94
462.181	141.01
462.621	141.6
463.06	140.35
463.499	138.81
463.938	136.45
464.377	134.11
464.816	130.92
465.255	129.2
465.694	126.63
466.133	123.5
466.572	121.6
467.01	118.78
467.449	115.04
467.888	112.45
468.326	110.21
468.765	106.18
469.203	103.47
469.642	101.01
470.08	98.22
470.519	96.35
470.957	92.7
471.395	90.41
471.834	88.26
472.272	85.56
472.71	83.54
473.148	82.01
473.586	80.21
474.024	77.33
474.462	75.73
474.9	73.1
475.338	71.1
475.775	69.63
476.213	68.11
476.651	66.65
477.088	64.38
477.526	62.36
477.964	61.1
478.401	59.44
478.838	57.64
479.276	56.04
479.713	54.59
480.15	53.09
480.588	51.68
481.025	50.62
481.462	49.21
481.899	48.04
482.336	46.6
482.773	46.16
483.21	44.59
483.647	43.21
484.084	42.36
484.521	41.69
484.957	40.66
485.394	40.03
485.831	39.16
486.267	38.66
486.704	38.14
487.14	37.44
487.577	37.12
488.013	36.73
488.45	35.98
488.886	35.36
489.322	35.52
489.758	35.36
490.195	34.87
490.631	34.76
491.067	34.93
491.503	34.07
491.939	34.24
492.375	34.18
492.81	34.11
493.246	34.2
493.682	34.6
494.118	34.44
494.553	34.65
494.989	34.87
495.424	35.14
495.86	35.3
496.295	35.76
496.731	35.77
497.166	36.62
497.602	36.65
498.037	37.17
498.472	37.62
498.907	37.99
499.342	38.76
499.777	39.5
500.212	40.28
500.647	41.07
501.082	41.76
501.517	42.19
501.952	42.91
502.387	43.74
502.821	45.1
503.256	45.87
503.69	46.69
504.125	47.8
504.56	48.9
504.994	49.8
505.428	50.89
505.863	52
506.297	53.03
506.731	54.23
507.165	55.46
507.6	56.64
508.034	57.98
508.468	59.01
508.902	60.12
509.336	61.46
509.77	62.73
510.203	63.83
510.637	65.06
511.071	66.11
511.505	67.44
511.938	67.94
512.372	68.94
512.805	70.37
513.239	70.56
513.672	71.76
514.106	72.41
514.539	73.26
514.972	73.82
515.406	74.4
515.839	74.66
