wl	PWM145
187.275	0
187.74	0
188.205	0
188.671	0
189.136	0
189.601	0
190.066	0
190.532	0
190.997	0
191.462	0
191.927	0
192.392	0
192.857	0
193.322	0
193.786	0
194.251	0
194.716	0
195.181	0
195.646	0
196.11	0
196.575	0
197.04	0
197.504	0
197.969	0
198.433	0
198.898	0
199.362	0
199.826	0
200.291	-0.01
200.755	23.31
201.219	8.83
201.684	18.37
202.148	14.34
202.612	7.57
203.076	3.47
203.54	6.05
204.004	11.27
204.468	8.83
204.932	4.09
205.396	-5.38
205.86	10.09
206.324	1.07
206.788	5.93
207.251	3.28
207.715	9.43
208.179	-4.81
208.642	12.04
209.106	8.05
209.57	-3.15
210.033	2
210.497	0.33
210.96	-0.46
211.424	-0.49
211.887	-0.64
212.35	0.12
212.814	5.33
213.277	7.07
213.74	6.04
214.203	-4.3
214.667	-1.03
215.13	1.15
215.593	-1.66
216.056	5.2
216.519	0.41
216.982	0.08
217.445	5.43
217.908	2.41
218.37	2.54
218.833	1.9
219.296	5.69
219.759	2.12
220.221	0.49
220.684	-1.15
221.147	0.74
221.609	1.82
222.072	3.46
222.534	3.95
222.997	0.4
223.459	1.78
223.922	2.93
224.384	0.18
224.846	2.88
225.309	0.2
225.771	-0.54
226.233	0.3
226.695	4.58
227.157	-2.21
227.619	1.64
228.081	0.52
228.543	2.29
229.005	3.21
229.467	1.72
229.929	2.53
230.391	1.71
230.853	0.45
231.315	-0.72
231.776	0.36
232.238	-0.03
232.7	1.63
233.161	0.58
233.623	1.53
234.084	0.65
234.546	0.73
235.007	0.36
235.469	0.16
235.93	0.76
236.391	0.8
236.853	1.56
237.314	1.62
237.775	1.72
238.236	0.42
238.697	0.7
239.159	0.75
239.62	0.47
240.081	2.04
240.542	-0.25
241.003	1.94
241.463	1.46
241.924	0.66
242.385	-0.6
242.846	0.74
243.307	2.74
243.767	1.26
244.228	-0.07
244.689	1.23
245.149	1.2
245.61	1.29
246.07	-1.13
246.531	1.63
246.991	1.31
247.451	1.41
247.912	0.21
248.372	0.35
248.832	0.9
249.293	0.12
249.753	1.47
250.213	-0.38
250.673	0.9
251.133	0.41
251.593	1.13
252.053	1.74
252.513	0.31
252.973	1.8
253.433	0.51
253.893	0.75
254.352	0.86
254.812	0.35
255.272	1.55
255.732	1.12
256.191	0.25
256.651	0.81
257.11	2.55
257.57	0.7
258.029	1.04
258.489	-0.67
258.948	0.33
259.407	0.52
259.867	-0.78
260.326	0.63
260.785	1.43
261.244	0.59
261.703	0.67
262.163	1.01
262.622	0.51
263.081	0.54
263.54	0.65
263.999	0.46
264.457	1.41
264.916	-0.92
265.375	1.99
265.834	0.9
266.293	0.27
266.751	0.76
267.21	0.72
267.669	0.05
268.127	0.68
268.586	0.69
269.044	1.01
269.503	-0.54
269.961	0.67
270.419	0.22
270.878	-0.13
271.336	1.23
271.794	1.17
272.252	0.88
272.711	0.6
273.169	-0.3
273.627	-0.26
274.085	0.89
274.543	1.45
275.001	0.91
275.459	0.08
275.917	1.39
276.374	0.44
276.832	0.7
277.29	0.73
277.748	0.85
278.205	0.53
278.663	0.71
279.121	0.76
279.578	0.52
280.036	1.34
280.493	0.77
280.951	-0.57
281.408	0.09
281.865	0.54
282.323	0.48
282.78	0.21
283.237	0.05
283.694	0.57
284.151	0.76
284.609	0.61
285.066	0.48
285.523	-0.13
285.98	0.91
286.437	0.67
286.893	-0.32
287.35	0.22
287.807	0.72
288.264	1.45
288.721	0.5
289.177	-0.08
289.634	0.21
290.09	0.55
290.547	0.75
291.004	1.33
291.46	0.78
291.916	0.24
292.373	0.28
292.829	1.45
293.286	0.36
293.742	1.01
294.198	0.6
294.654	0.39
295.11	0.24
295.566	0.06
296.022	0.48
296.478	0.35
296.934	0.06
297.39	0.16
297.846	1.27
298.302	0.61
298.758	0.53
