wl	G
318.772	357.8922222
319.226	358.9322222
319.68	365.1733333
320.133	362.0522222
320.587	358.4111111
321.041	365.1722222
321.495	363.0922222
321.948	365.1722222
322.402	363.0911111
322.855	356.59
323.309	359.9711111
323.762	354.77
324.216	355.81
324.669	358.9311111
325.123	364.1322222
325.576	356.85
326.029	354.25
326.482	356.8511111
326.935	356.33
327.389	350.0888889
327.842	353.73
328.295	348.2688889
328.748	345.4077778
329.201	343.5877778
329.654	352.95
330.107	352.1688889
330.559	354.7688889
331.012	363.6111111
331.465	364.6511111
331.918	362.05
332.37	369.8522222
332.823	368.5522222
333.275	366.2111111
333.728	369.3322222
334.18	377.3944444
334.633	377.1344444
335.085	370.8933333
335.538	367.7722222
335.99	371.4133333
336.442	377.1344444
336.894	388.0566667
337.347	391.6977778
337.799	387.5366667
338.251	387.2766667
338.703	387.5366667
339.155	395.5988889
339.607	403.6611111
340.059	406.7822222
340.511	401.3211111
340.963	392.4788889
341.414	387.5377778
341.866	382.3366667
342.318	383.3766667
342.769	384.1577778
343.221	374.0155556
343.673	364.1333333
344.124	362.0522222
344.576	351.65
345.027	351.65
345.478	352.43
345.93	355.8111111
346.381	356.3311111
346.832	352.69
347.284	354.77
347.735	359.4511111
348.186	360.2322222
348.637	376.0955556
349.088	375.8355556
349.539	370.1144444
349.99	376.6155556
350.441	370.3744444
350.892	377.3955556
351.343	377.6555556
351.793	378.4355556
352.244	373.7544444
352.695	363.3522222
353.146	366.7333333
353.596	373.4944444
354.047	361.7922222
354.497	363.0922222
354.948	356.3311111
355.398	352.95
355.848	349.0488889
356.299	348.5277778
356.749	347.2266667
357.199	340.7255556
357.65	344.8866667
358.1	353.9877778
358.55	350.6077778
359	354.5088889
359.45	355.29
359.9	356.85
360.35	363.8722222
360.8	364.6533333
361.25	366.7333333
361.699	365.4333333
362.149	367.2544444
362.599	371.1544444
363.049	365.9533333
363.498	370.1133333
363.948	375.5744444
364.397	371.4133333
364.847	375.5733333
365.296	382.8555556
365.746	384.9355556
366.195	377.6533333
366.644	378.1744444
367.094	386.4955556
367.543	387.0155556
367.992	385.9755556
368.441	390.1366667
368.89	384.1555556
369.339	376.8733333
369.788	376.6133333
370.237	370.8922222
370.686	369.3311111
371.135	368.8111111
371.584	368.8111111
372.033	372.9722222
372.482	372.7122222
372.93	377.1333333
373.379	377.9133333
373.827	378.9533333
374.276	382.0744444
374.725	382.0744444
375.173	382.3344444
375.621	382.3344444
376.07	372.9722222
376.518	363.09
376.966	359.9688889
377.415	354.2477778
377.863	346.4466667
378.311	353.7277778
378.759	353.4677778
379.207	344.1055556
379.655	344.8866667
380.103	354.5088889
380.551	362.31
380.999	369.3322222
381.447	381.2955556
381.895	390.1377778
382.342	386.7577778
382.79	395.34
383.238	399.2411111
383.685	399.5011111
384.133	393
384.58	393.26
385.028	388.8388889
385.475	382.5966667
385.923	379.4755556
386.37	375.5744444
386.817	365.1722222
387.265	367.7733333
387.712	372.9744444
388.159	376.0944444
388.606	368.5533333
389.053	364.9122222
389.5	363.0922222
389.947	359.9711111
390.394	358.41
390.841	359.97
391.288	351.9077778
391.735	345.6655556
392.181	344.6255556
392.628	359.4488889
393.075	356.0688889
393.521	359.71
393.968	360.7511111
394.414	364.9122222
394.861	363.8722222
395.307	366.2133333
395.754	366.9944444
396.2	369.5955556
396.646	356.0722222
397.093	357.6322222
397.539	353.7311111
397.985	351.65
398.431	345.1488889
398.877	348.79
399.323	349.05
399.769	346.1888889
400.215	344.1077778
400.661	348.5288889
401.107	351.3888889
401.552	355.03
401.998	355.55
402.444	360.7511111
402.889	357.37
403.335	365.1711111
403.781	373.2333333
404.226	372.4533333
404.672	374.0133333
405.117	378.9544444
405.562	369.8522222
406.008	371.4133333
406.453	372.7133333
406.898	370.8933333
407.343	369.5933333
407.789	361.2711111
408.234	366.7322222
408.679	365.9522222
409.124	365.6922222
409.569	376.6144444
410.014	382.3355556
410.458	383.8966667
410.903	385.9766667
411.348	384.4166667
411.793	388.8377778
412.237	381.2966667
412.682	388.3188889
413.127	384.1588889
413.571	376.6166667
414.016	367.2544444
414.46	358.9322222
414.904	358.4122222
415.349	359.9722222
415.793	357.8911111
416.237	354.77
416.682	346.9677778
417.126	356.0688889
417.57	365.1711111
418.014	371.9322222
418.458	378.1733333
418.902	380.5133333
419.346	380.2533333
419.79	379.4733333
420.233	392.7366667
420.677	401.5788889
421.121	397.4188889
421.565	390.3977778
422.008	388.5777778
422.452	386.2377778
422.895	380.7766667
423.339	379.7366667
423.782	377.9166667
424.226	371.6755556
424.669	370.3755556
425.113	375.0566667
425.556	377.1366667
425.999	375.5755556
426.442	374.5355556
426.885	372.1955556
427.328	371.4155556
427.771	376.6166667
428.214	382.0777778
428.657	373.2355556
429.1	364.6533333
429.543	364.3933333
429.986	372.1955556
430.429	384.4177778
430.871	391.9588889
431.314	390.9177778
431.757	390.1377778
432.199	379.4755556
432.642	379.9955556
433.084	384.4166667
433.527	382.8566667
433.969	369.0733333
434.411	359.4511111
434.854	363.3522222
435.296	364.3933333
435.738	356.3311111
436.18	364.1322222
436.622	368.5533333
437.064	366.2122222
437.506	367.2522222
437.948	367.2522222
438.39	362.8311111
438.832	361.5311111
439.274	364.6511111
439.715	378.1744444
440.157	375.0533333
440.599	375.0533333
441.04	378.6944444
441.482	381.2955556
441.924	393.7788889
442.365	401.5811111
442.806	400.0211111
443.248	394.04
443.689	383.8977778
444.13	380.2577778
444.572	383.6388889
445.013	378.6977778
445.454	382.3377778
445.895	380.5166667
446.336	382.3366667
446.777	381.2955556
447.218	380.7755556
447.659	384.6766667
448.1	391.9577778
448.54	386.4955556
448.981	393.7766667
449.422	388.3155556
449.863	382.8544444
450.303	385.9755556
450.744	395.8577778
451.184	394.2977778
451.625	392.2166667
452.065	395.3377778
452.505	397.4188889
452.946	394.0388889
453.386	393.2588889
453.826	406.7822222
454.266	399.5
454.707	392.7388889
455.147	392.7388889
455.587	394.82
456.027	393.26
456.467	393.78
456.906	393.52
457.346	390.4
457.786	384.1588889
458.226	384.4188889
458.666	386.2388889
459.105	394.3
459.545	399.5011111
459.984	401.5811111
460.424	402.3611111
460.863	400.54
461.303	408.8611111
461.742	404.18
462.181	409.9022222
462.621	415.8844444
463.06	413.0244444
463.499	413.0244444
463.938	411.7244444
464.377	418.2255556
464.816	424.4677778
465.255	428.6288889
465.694	445.2722222
466.133	450.9933333
466.572	456.9744444
467.01	472.0577778
467.449	480.9
467.888	495.4633333
468.326	502.4855556
468.765	516.2677778
469.203	535.2522222
469.642	539.1533333
470.08	552.1555556
470.519	561.7777778
470.957	577.3811111
471.395	591.6844444
471.834	608.5877778
472.272	631.2133333
472.71	659.56
473.148	673.6033333
473.586	697.5288889
474.024	727.1755556
474.462	757.3422222
474.9	792.45
475.338	834.8388889
475.775	869.6866667
476.213	911.0355556
476.651	935.4811111
477.088	983.3322222
477.526	1021.041111
477.964	1064.992222
478.401	1105.301111
478.838	1149.771111
479.276	1200.743333
479.713	1256.136667
480.15	1314.39
480.588	1392.147778
481.025	1451.181111
481.462	1530.758889
481.899	1606.435556
482.336	1697.456667
482.773	1773.654444
483.21	1865.975556
483.647	1981.702222
484.084	2088.326667
484.521	2196.252222
484.957	2323.941111
485.394	2450.33
485.831	2582.96
486.267	2716.891111
486.704	2886.97
487.14	3041.965556
487.577	3184.737778
488.013	3368.08
488.45	3557.403333
488.886	3742.825556
489.322	3957.114444
489.758	4176.345556
490.195	4425.742222
490.631	4689.962222
491.067	4953.662222
491.503	5264.173333
491.939	5570.263333
492.375	5909.64
492.81	6272.683333
493.246	6629.225556
493.682	7020.094444
494.118	7441.391111
494.553	7840.843333
494.989	8316.232222
495.424	8779.918889
495.86	9278.193333
496.295	9776.467778
496.731	10341.83778
497.166	10938.41444
497.602	11575.3
498.037	12204.64333
498.472	12890.68
498.907	13613.38556
499.342	14382.38111
499.777	15140.19444
500.212	15938.05667
500.647	16772.06667
501.082	17641.44556
501.517	18549.31333
501.952	19530.51889
502.387	20502.62111
502.821	21492.40778
503.256	22489.99556
503.69	23598.88889
504.125	24731.96889
504.56	25905.61778
504.994	27076.66556
505.428	28257.33667
505.863	29436.96667
506.297	30680.31111
506.731	31886.46667
507.165	33107.96667
507.6	34349.49111
508.034	35564.48889
508.468	36759.20222
508.902	37990.06444
509.336	39158.25111
509.77	40309.53444
510.203	41389.82222
510.637	42536.42444
511.071	43588.88556
511.505	44605.71778
511.938	45611.36778
512.372	46515.59556
512.805	47342.32444
513.239	48155.27111
513.672	48868.61444
514.106	49546.59
514.539	50107.01889
514.972	50625.83778
515.406	51042.71333
515.839	51369.86889
516.272	51665.81667
516.705	51839.27667
517.138	51944.08
517.571	52018.45667
518.004	51981.78778
518.437	51834.85444
518.87	51725.62889
519.302	51415.89778
519.735	51121.25
520.168	50717.37667
520.6	50268.51333
521.033	49770.24
521.466	49115.93
521.898	48520.39333
522.33	47873.62444
522.763	47113.99111
523.195	46379.06333
523.627	45568.19778
524.06	44693.09778
524.492	43849.98444
524.924	42941.85667
525.356	42078.71889
525.788	41193.21667
526.22	40272.60667
526.652	39340.81333
527.084	38448.28889
527.516	37520.91667
527.947	36614.34889
528.379	35710.90222
528.811	34836.58111
529.242	34028.31667
529.674	33185.46333
530.105	32355.61333
530.537	31585.57667
530.968	30843.10667
531.399	30093.09444
531.831	29413.03889
532.262	28713.21889
532.693	28066.19111
533.124	27317.48
533.555	26637.16444
533.986	25999.49778
534.417	25368.59333
534.848	24730.92778
535.279	24163.73889
535.71	23573.92444
536.141	22993.47222
536.572	22388.83444
537.002	21889
537.433	21343.13556
537.863	20836.02
538.294	20284.69444
538.724	19773.41667
539.155	19262.39889
539.585	18739.93889
540.015	18274.69222
540.446	17790.98111
540.876	17334.05667
541.306	16857.62778
541.736	16389
542.166	15956.26111
542.596	15512.6
543.026	15069.71889
543.456	14650.50333
543.886	14232.58778
544.316	13844.57889
