wl	B
522.763	2161.567778
523.195	2141.543333
523.627	2137.122222
524.06	2121.778889
524.492	2121.258889
524.924	2109.035556
525.356	2091.871111
525.788	2073.666667
526.22	2056.242222
526.652	2047.66
527.084	2042.458889
527.516	2034.397778
527.947	2009.691111
528.379	1983.944444
528.811	1966.781111
529.242	1961.06
529.674	1962.62
530.105	1951.177778
530.537	1942.335556
530.968	1937.914444
531.399	1934.013333
531.831	1931.153333
532.262	1936.354444
532.693	1947.016667
533.124	1937.394444
533.555	1927.772222
533.986	1929.592222
534.417	1944.155556
534.848	1935.573333
535.279	1929.331111
535.71	1922.568889
536.141	1914.507778
536.572	1913.987778
537.002	1909.306667
537.433	1908.266667
537.863	1902.805556
538.294	1889.023333
538.724	1891.884444
539.155	1881.222222
539.585	1891.105556
540.015	1876.542222
540.446	1863.278889
540.876	1856.777778
541.306	1855.997778
541.736	1849.496667
542.166	1832.852222
542.596	1828.171111
543.026	1822.71
543.456	1816.467778
543.886	1819.847778
544.316	1818.807778
544.745	1828.43
545.175	1817.507778
545.605	1822.188889
546.034	1818.547778
546.464	1812.305556
546.893	1814.126667
547.323	1810.746667
547.752	1824.01
548.181	1827.39
548.611	1824.788889
549.04	1827.648889
549.469	1824.787778
549.898	1831.55
550.327	1834.411111
550.756	1828.948889
551.185	1826.347778
551.614	1808.403333
552.043	1803.982222
552.472	1794.1
552.9	1798.261111
553.329	1798.001111
553.758	1787.338889
554.186	1796.441111
554.615	1797.222222
555.043	1792.541111
555.472	1798.523333
555.9	1801.124444
556.328	1803.464444
556.757	1790.202222
557.185	1785.781111
557.613	1801.384444
558.041	1775.117778
558.469	1781.358889
558.897	1800.083333
559.325	1811.525556
559.753	1815.686667
560.181	1821.408889
560.609	1832.851111
561.037	1842.733333
561.464	1843.253333
561.892	1866.138889
562.319	1863.277778
562.747	1849.754444
563.175	1857.816667
563.602	1870.558889
564.029	1872.638889
564.457	1882.261111
564.884	1890.063333
565.311	1896.564444
565.738	1915.028889
566.165	1919.19
566.592	1934.013333
567.019	1929.592222
567.446	1915.028889
567.873	1914.768889
568.3	1901.245556
568.727	1893.183333
569.154	1880.701111
569.58	1861.456667
570.007	1873.94
570.434	1867.178889
570.86	1866.138889
571.287	1870.3
571.713	1864.318889
572.139	1870.04
572.566	1859.897778
572.992	1872.38
573.418	1870.3
573.844	1857.816667
574.27	1858.076667
574.696	1854.175556
575.122	1842.733333
575.548	1857.816667
575.974	1858.336667
576.4	1866.138889
576.826	1859.897778
577.252	1859.376667
577.677	1855.475556
578.103	1844.813333
578.528	1848.714444
578.954	1849.234444
579.379	1844.813333
579.805	1852.615556
580.23	1846.894444
580.655	1838.572222
581.081	1835.712222
581.506	1834.152222
581.931	1840.133333
582.356	1834.151111
582.781	1838.832222
583.206	1825.048889
583.631	1813.866667
584.056	1820.367778
584.481	1825.568889
584.905	1825.308889
585.33	1831.81
585.755	1835.451111
586.179	1834.931111
586.604	1828.69
587.028	1835.191111
587.453	1832.85
587.877	1819.586667
588.302	1813.605556
588.726	1806.323333
589.15	1805.023333
589.574	1803.982222
589.998	1806.843333
590.422	1812.304444
590.846	1800.862222
591.27	1800.602222
591.694	1808.404444
592.118	1806.324444
592.542	1819.847778
592.966	1824.008889
593.389	1811.786667
593.813	1788.641111
594.236	1783.96
594.66	1789.681111
595.083	1792.282222
595.507	1781.1
595.93	1786.041111
596.354	1775.378889
596.777	1764.196667
597.2	1764.976667
597.623	1783.701111
598.046	1775.118889
598.469	1761.595556
598.892	1751.453333
599.315	1757.434444
599.738	1754.833333
600.161	1747.551111
600.584	1747.031111
601.006	1757.693333
601.429	1755.612222
601.851	1761.593333
602.274	1775.636667
602.696	1780.577778
603.119	1782.397778
603.541	1781.877778
603.964	1792.541111
604.386	1802.163333
604.808	1800.863333
605.23	1805.804444
605.652	1811.265556
606.074	1816.987778
606.496	1818.027778
606.918	1809.445556
607.34	1815.166667
607.762	1813.345556
608.184	1814.645556
608.606	1804.243333
609.027	1788.12
609.449	1790.981111
609.87	1773.036667
610.292	1767.575556
610.713	1773.817778
611.135	1753.793333
611.556	1740.53
611.977	1738.188889
612.398	1734.027778
612.82	1732.987778
613.241	1707.502222
613.662	1694.498889
614.083	1680.195556
614.504	1656.27
614.925	1656.79
615.345	1641.966667
615.766	1610.5
616.187	1597.496667
616.608	1586.054444
617.028	1572.791111
617.449	1564.99
617.869	1544.705556
618.29	1535.603333
618.71	1505.436667
619.131	1498.935556
619.551	1486.192222
619.971	1477.09
620.391	1465.126667
620.811	1466.166667
621.231	1453.943333
621.651	1447.441111
622.071	1439.898889
622.491	1437.037778
622.911	1429.235556
623.331	1416.493333
623.751	1404.531111
624.17	1395.168889
624.59	1379.565556
625.009	1375.664444
625.429	1378.785556
625.848	1373.844444
626.268	1365.003333
626.687	1346.28
627.106	1336.397778
627.526	1319.233333
627.945	1309.351111
628.364	1292.967778
628.783	1273.723333
629.202	1257.86
629.621	1246.157778
630.04	1234.974444
630.459	1232.893333
630.878	1232.632222
631.296	1221.45
631.715	1209.487778
632.134	1209.747778
632.552	1209.747778
632.971	1202.725556
633.389	1191.803333
633.807	1191.023333
634.226	1172.558889
634.644	1159.036667
635.062	1148.374444
635.48	1141.872222
635.899	1125.227778
636.317	1124.447778
636.735	1115.085556
637.153	1104.162222
637.57	1095.06
637.988	1091.94
638.406	1087.518889
638.824	1085.437778
639.241	1075.815556
639.659	1080.756667
640.077	1060.472222
640.494	1049.55
640.912	1045.91
641.329	1033.427778
641.746	1037.848889
642.164	1028.746667
642.581	1023.805556
642.998	1012.623333
643.415	991.8188889
643.832	988.1777778
644.249	987.1377778
644.666	982.9766667
645.083	982.9766667
645.5	971.0133333
645.916	961.9111111
646.333	952.0288889
646.75	942.6666667
647.166	938.5055556
647.583	930.9644444
647.999	917.1811111
648.416	901.8377778
648.832	885.7133333
649.249	876.8711111
649.665	872.45
650.081	871.15
650.497	871.67
650.913	879.2122222
651.329	879.4722222
651.745	877.1311111
652.161	869.8488889
652.577	865.9488889
652.993	861.0077778
653.409	860.7477778
653.824	848.2655556
654.24	840.4644444
654.655	833.7022222
655.071	814.7177778
655.486	808.9966667
655.902	810.5566667
656.317	803.5344444
656.732	796.5133333
657.148	783.77
657.563	776.7477778
657.978	768.1655556
658.393	749.7022222
658.808	747.1011111
659.223	738.5188889
659.638	728.1166667
660.053	719.7944444
660.467	713.0322222
660.882	708.0911111
661.297	710.4322222
661.711	698.4688889
662.126	688.5866667
662.54	677.9244444
662.955	674.5444444
663.369	676.3655556
663.784	671.9455556
664.198	668.0455556
664.612	658.6833333
665.026	648.28
665.44	647.24
665.854	652.7011111
666.268	658.1622222
666.682	657.6422222
667.096	652.4411111
667.51	650.88
667.924	646.4588889
668.337	652.1811111
668.751	649.3211111
669.164	645.68
669.578	634.4966667
669.991	620.1933333
670.405	606.41
670.818	594.9666667
671.231	593.6666667
671.645	587.9455556
672.058	574.1622222
672.471	572.3422222
672.884	573.9033333
673.297	578.5844444
673.71	585.0866667
674.123	584.3066667
674.536	576.7655556
674.948	567.1433333
675.361	566.8833333
675.774	563.2422222
676.186	562.9811111
676.599	559.6
677.011	552.0588889
677.424	543.2166667
677.836	541.9155556
678.248	549.9766667
678.661	548.1566667
679.073	540.3544444
679.485	543.2155556
679.897	527.3522222
680.309	518.51
680.721	520.85
681.133	524.23
681.545	512.2677778
681.957	508.1066667
682.368	510.4466667
682.78	508.8866667
683.192	503.9455556
683.603	508.3666667
684.015	505.7666667
684.426	502.1266667
684.837	498.2266667
685.249	505.5077778
685.66	500.8266667
686.071	500.0466667
686.482	507.5877778
686.893	506.5466667
687.304	510.7077778
687.715	512.5277778
688.126	507.0655556
688.537	499.7833333
688.948	494.0622222
689.359	486.7811111
689.769	471.1777778
690.18	462.3355556
690.591	457.1344444
691.001	451.6733333
691.411	453.2333333
691.822	455.3144444
692.232	449.8533333
692.642	451.9344444
693.053	450.8944444
693.463	464.1566667
693.873	455.8355556
694.283	457.3966667
694.693	453.2355556
695.103	453.7555556
695.513	443.6133333
695.922	458.6966667
696.332	449.5944444
696.742	453.7555556
697.151	443.0933333
697.561	448.2944444
697.97	449.5944444
698.38	448.8144444
698.789	436.3322222
699.199	440.4933333
699.608	433.2122222
700.017	441.7944444
700.426	443.8744444
700.835	443.8744444
701.244	440.7533333
701.653	430.8711111
702.062	426.71
702.471	435.5522222
702.88	428.27
703.289	429.83
703.697	430.09
704.106	418.1277778
704.514	417.8677778
704.923	419.4277778
705.331	423.8488889
705.74	428.79
706.148	423.3288889
706.556	430.8711111
706.965	425.41
707.373	417.0877778
707.781	422.2888889
708.189	429.8311111
708.597	433.7322222
709.005	432.4322222
709.413	435.5533333
709.82	431.3922222
710.228	428.5311111
710.636	426.9711111
711.043	429.0511111
711.451	425.41
711.858	418.6477778
712.266	413.9666667
712.673	416.3066667
713.081	413.7055556
713.488	413.4455556
713.895	415.2655556
714.302	413.4444444
714.709	421.2466667
715.116	425.6677778
715.523	420.9866667
715.93	410.0644444
716.337	406.1633333
716.744	402.7822222
717.15	412.1444444
717.557	404.0833333
717.964	400.1822222
718.37	387.4388889
718.777	387.1788889
719.183	393.4211111
719.589	401.2233333
719.996	396.0222222
720.402	392.1222222
720.808	375.4777778
721.214	381.1988889
721.62	384.58
722.026	390.8222222
722.432	390.5622222
722.838	387.4411111
723.244	391.8611111
723.65	391.6011111
724.055	389.52
724.461	405.3833333
724.867	403.3033333
725.272	401.7433333
725.678	400.4422222
726.083	396.8011111
726.488	395.2411111
726.894	392.6411111
727.299	394.9822222
727.704	398.1033333
728.109	391.6022222
728.514	385.1
728.919	385.36
729.324	390.3011111
729.729	394.9822222
730.134	400.7033333
730.538	398.6233333
730.943	399.6633333
731.348	408.2455556
731.752	407.9855556
732.157	410.3266667
732.561	418.6477778
732.966	415.5277778
733.37	408.2455556
733.774	401.7444444
734.178	400.1833333
734.582	404.3444444
734.987	397.5822222
735.391	393.4211111
735.795	394.7211111
736.198	391.3411111
736.602	392.9011111
737.006	396.2822222
737.41	397.8422222
737.813	394.4611111
738.217	393.9411111
738.621	389
739.024	396.5422222
739.427	397.3222222
739.831	397.8422222
740.234	389.78
740.637	386.3988889
741.04	383.0177778
741.444	386.3988889
741.847	383.0177778
742.25	387.4388889
742.652	383.0177778
743.055	378.3366667
743.458	364.8133333
743.861	364.0333333
744.264	366.6344444
744.666	368.4555556
745.069	365.5955556
745.471	349.4722222
745.874	347.3922222
746.276	349.7322222
746.678	351.0322222
747.081	355.4533333
747.483	358.3144444
747.885	361.9555556
748.287	364.8155556
748.689	370.2766667
749.091	393.1611111
749.493	399.4022222
749.895	401.2233333
750.296	404.8644444
750.698	404.8644444
751.1	412.1455556
751.501	402.2633333
751.903	398.3622222
752.304	394.9811111
752.706	383.0188889
753.107	376.7777778
753.508	377.0377778
753.909	375.4777778
754.311	373.3977778
754.712	366.8966667
755.113	374.1777778
755.514	385.3611111
755.915	389.7822222
756.315	387.1811111
756.716	381.72
757.117	379.6388889
757.518	385.88
757.918	396.8022222
758.319	396.5422222
758.719	399.1433333
759.12	392.3811111
759.52	383.0188889
759.92	394.7222222
760.321	396.8022222
760.721	389.7811111
761.121	379.6388889
761.521	370.2766667
761.921	368.4566667
762.321	364.8155556
762.721	362.7355556
763.12	365.8566667
763.52	362.7355556
763.92	374.6977778
764.319	379.6388889
764.719	385.36
765.118	389.0011111
765.518	386.92
765.917	385.62
766.317	386.14
766.716	389.52
767.115	390.82
767.514	381.9788889
767.913	374.6966667
768.312	367.1555556
768.711	365.8544444
769.11	368.4555556
769.509	365.5944444
769.907	365.0744444
770.306	360.9133333
770.705	357.7933333
771.103	360.6533333
771.502	368.9755556
771.9	369.2355556
772.299	372.8766667
772.697	373.3966667
773.095	372.0966667
773.493	366.3755556
773.891	367.4166667
774.29	366.1155556
774.688	369.4966667
775.085	362.2155556
775.483	366.6366667
775.881	362.4755556
776.279	357.2744444
776.677	358.0544444
777.074	362.2144444
777.472	357.7933333
777.869	356.2333333
778.267	344.7911111
778.664	344.5311111
779.061	340.89
779.459	342.1911111
779.856	349.2122222
780.253	352.3333333
780.65	349.4733333
781.047	350.2533333
