wl	R
518.437	339.93
518.87	332.9077778
519.302	338.11
519.735	336.55
520.168	342.0111111
520.6	340.97
521.033	337.85
521.466	349.8122222
521.898	359.4344444
522.33	361.2544444
522.763	374.7777778
523.195	375.2977778
523.627	378.1588889
524.06	374.7777778
524.492	380.76
524.924	381.28
525.356	382.5811111
525.788	374.2588889
526.22	373.4788889
526.652	363.3366667
527.084	362.5566667
527.516	367.7577778
527.947	374
528.379	375.82
528.811	379.7211111
529.242	375.82
529.674	377.38
530.105	379.4611111
530.537	375.82
530.968	373.9988889
531.399	368.5377778
531.831	364.6366667
532.262	367.2366667
532.693	357.6144444
533.124	356.0544444
533.555	355.7944444
533.986	352.9333333
534.417	365.1566667
534.848	360.4755556
535.279	361.7755556
535.71	356.8344444
536.141	345.9122222
536.572	349.8133333
537.002	352.6733333
537.433	360.2155556
537.863	359.6955556
538.294	352.6733333
538.724	355.0144444
539.155	355.7944444
539.585	351.8933333
540.015	361.5155556
540.446	361.7755556
540.876	362.0355556
541.306	360.2144444
541.736	357.3533333
542.166	355.7933333
542.596	364.3744444
543.026	364.1144444
543.456	379.7177778
543.886	374.2566667
544.316	380.7577778
544.745	380.2377778
545.175	369.3155556
545.605	371.3966667
546.034	374.5177778
546.464	371.9177778
546.893	370.0977778
547.323	362.0366667
547.752	370.3588889
548.181	366.1977778
548.611	359.1766667
549.04	358.1366667
549.469	363.8577778
549.898	365.9377778
550.327	370.0988889
550.756	368.0177778
551.185	370.0977778
551.614	370.3577778
552.043	369.3177778
552.472	373.9988889
552.9	377.64
553.329	374.5188889
553.758	367.2377778
554.186	356.3144444
554.615	360.7355556
555.043	361.5155556
555.472	353.7133333
555.9	349.5522222
556.328	351.3722222
556.757	361.5144444
557.185	363.0755556
557.613	368.5366667
558.041	375.8188889
558.469	379.98
558.897	375.2988889
559.325	381.28
559.753	382.32
560.181	384.92
560.609	376.5977778
561.037	377.8977778
561.464	377.8977778
561.892	377.3777778
562.319	365.6755556
562.747	368.7966667
563.175	365.1566667
563.602	370.3577778
564.029	371.1388889
564.457	383.8822222
564.884	391.1633333
565.311	397.6644444
565.738	399.7444444
566.165	413.5266667
566.592	425.4888889
567.019	434.8511111
567.446	436.6722222
567.873	440.3122222
568.3	440.5722222
568.727	439.2722222
569.154	444.4733333
569.58	449.6744444
570.007	453.0555556
570.434	446.0344444
570.86	451.7555556
571.287	455.3955556
571.713	462.1577778
572.139	460.0766667
572.566	464.2377778
572.992	466.0577778
573.418	466.3177778
573.844	465.5377778
574.27	469.6988889
574.696	476.98
575.122	488.6833333
575.548	491.0233333
575.974	497.5255556
576.4	512.0888889
576.826	516.77
577.252	531.3333333
577.677	550.8377778
578.103	564.36
578.528	566.9611111
578.954	578.6633333
579.379	589.0655556
579.805	602.3277778
580.23	610.13
580.655	623.9133333
581.081	628.8544444
581.506	640.8166667
581.931	660.0611111
582.356	671.7633333
582.781	677.7444444
583.206	707.6522222
583.631	731.3177778
584.056	747.7011111
584.481	773.1877778
584.905	800.4944444
585.33	822.08
585.755	830.1422222
586.179	867.3311111
586.604	900.3588889
587.028	921.4233333
587.453	948.99
587.877	984.8777778
588.302	1010.883333
588.726	1043.131111
589.15	1069.916667
589.574	1118.027778
589.998	1147.934444
590.422	1196.305556
590.846	1235.834444
591.27	1274.063333
591.694	1319.314444
592.118	1371.586667
592.542	1429.06
592.966	1487.834444
593.389	1541.926667
593.813	1594.718889
594.236	1641.53
594.66	1695.102222
595.083	1762.457778
595.507	1822.271111
595.93	1903.408889
596.354	1973.624444
596.777	2060.223333
597.2	2157.225556
597.623	2250.586667
598.046	2346.808889
598.469	2453.173333
598.892	2561.097778
599.315	2667.462222
599.738	2785.79
600.161	2914.52
600.584	3045.07
601.006	3175.1
601.429	3328.795556
601.851	3482.75
602.274	3646.067778
602.696	3809.645556
603.119	4008.331111
603.541	4205.455556
603.964	4411.942222
604.386	4628.832222
604.808	4854.043333
605.23	5117.743333
605.652	5390.546667
606.074	5683.633333
606.496	6001.165556
606.918	6297.893333
607.34	6622.707778
607.762	6994.593333
608.184	7335.271111
608.606	7731.862222
609.027	8117.791111
609.449	8519.322222
609.87	8922.154444
610.292	9370.756667
610.713	9865.91
611.135	10369.90556
611.556	10869.22
611.977	11404.94222
612.398	11967.71111
612.82	12526.83889
613.241	13155.40333
613.662	13815.43444
614.083	14503.03222
614.504	15189.58889
614.925	15921.13667
615.345	16623.03667
615.766	17394.11333
616.187	18144.12444
616.608	18935.74556
617.028	19718.26444
617.449	20541.35333
617.869	21370.42333
618.29	22248.90444
618.71	23090.97667
619.131	23998.06444
619.551	24922.57667
619.971	25902.48111
620.391	26897.72889
620.811	27915.86222
621.231	28925.93333
621.651	29907.39778
622.071	30961.68
622.491	32031.82556
622.911	33149.56111
623.331	34266.25667
623.751	35408.69889
624.17	36603.67222
624.59	37762.23667
625.009	38944.20667
625.429	40161.54556
625.848	41254.05556
626.268	42362.94889
626.687	43336.87222
627.106	44246.04
627.526	44985.38889
627.945	45575.46444
628.364	46025.88778
628.783	46258.12111
629.202	46311.69333
629.621	46152.27667
630.04	45740.34222
630.459	45124.52111
630.878	44179.20444
631.296	43034.16222
631.715	41647.78444
632.134	40066.62222
632.552	38325.26333
632.971	36357.13222
633.389	34312.28444
633.807	32151.45
634.226	29977.87222
634.644	27838.62333
635.062	25727.98
635.48	23691.45444
635.899	21727.48556
636.317	19875.60222
636.735	18171.43222
637.153	16586.62889
637.57	15149.02
637.988	13816.47556
638.406	12644.38667
638.824	11559.15889
639.241	10579.51444
639.659	9719.757778
640.077	8932.817778
640.494	8227.796667
640.912	7555.543333
641.329	6951.425556
641.746	6434.166667
642.164	5928.351111
642.581	5481.308889
642.998	5068.594444
643.415	4668.622222
643.832	4287.634444
644.249	3950.857778
644.666	3664.012222
645.083	3390.948889
645.5	3116.586667
645.916	2886.174444
646.333	2671.364444
646.75	2457.335556
647.166	2276.594444
647.583	2121.858889
647.999	1960.882222
648.416	1813.947778
648.832	1700.302222
649.249	1589.256667
649.665	1490.433333
650.081	1399.153333
650.497	1322.955556
650.913	1253.26
651.329	1183.564444
651.745	1137.273333
652.161	1093.063333
652.577	1030.908889
652.993	984.6177778
653.409	940.9277778
653.824	899.0577778
654.24	863.95
654.655	828.0611111
655.071	801.7944444
655.486	768.5066667
655.902	742.5011111
656.317	730.7988889
656.732	705.0533333
657.148	680.0877778
657.563	669.6855556
657.978	654.0822222
658.393	640.04
658.808	630.4177778
659.223	606.4922222
659.638	587.2477778
660.053	571.6433333
660.467	561.5011111
660.882	550.8388889
661.297	535.7555556
661.711	523.5322222
662.126	508.9688889
662.54	499.0866667
662.955	502.2077778
663.369	492.5855556
663.784	479.5833333
664.198	465.02
664.612	458.5188889
665.026	447.5955556
665.44	436.1533333
665.854	427.5711111
666.268	410.9277778
666.682	392.4633333
667.096	392.2033333
667.51	391.6833333
667.924	392.9833333
668.337	395.0633333
668.751	399.2244444
669.164	396.3633333
669.578	399.2233333
669.991	408.8455556
670.405	412.4866667
670.818	407.2855556
671.231	401.3033333
671.645	403.3844444
672.058	402.0844444
672.471	391.9422222
672.884	388.8211111
673.297	384.6611111
673.71	375.8188889
674.123	376.8588889
674.536	376.8588889
674.948	382.06
675.361	379.4588889
675.774	368.2755556
676.186	372.4366667
676.599	377.1177778
677.011	380.7577778
677.424	384.6588889
677.836	381.0177778
678.248	384.1377778
678.661	377.6366667
679.073	377.3766667
679.485	386.4788889
679.897	382.0577778
680.309	384.6588889
680.721	386.22
681.133	389.0811111
681.545	392.2022222
681.957	383.8811111
682.368	377.9
682.78	375.0388889
683.192	377.12
683.603	379.2011111
684.015	372.44
684.426	367.7588889
684.837	359.6966667
685.249	355.5355556
685.66	364.8977778
686.071	370.3588889
686.482	369.0588889
686.893	359.6966667
687.304	361.2566667
687.715	362.8166667
688.126	356.8344444
688.537	363.8555556
688.948	362.8155556
689.359	362.5555556
689.769	359.1744444
690.18	362.2955556
690.591	365.9366667
691.001	363.3355556
691.411	363.3355556
691.822	363.5955556
692.232	359.4355556
692.642	364.3766667
693.053	356.3144444
693.463	356.8344444
693.873	356.5744444
694.283	355.0133333
694.693	352.4133333
695.103	351.8933333
695.513	350.5933333
695.922	350.5933333
696.332	339.4111111
696.742	343.3122222
697.151	337.8511111
697.561	331.3488889
697.97	340.1911111
698.38	348.5133333
698.789	356.3144444
699.199	363.5966667
699.608	363.3355556
700.017	373.4777778
700.426	376.5977778
700.835	386.22
701.244	397.1433333
701.653	389.0811111
702.062	382.3188889
702.471	369.3166667
702.88	368.2755556
703.289	369.5766667
703.697	372.6966667
704.106	367.2355556
704.514	360.7344444
704.923	352.9322222
705.331	352.1522222
705.74	353.7133333
706.148	356.0533333
706.556	351.3722222
706.965	345.9111111
707.373	343.0511111
707.781	336.55
708.189	333.9488889
708.597	331.0877778
709.005	333.9488889
709.413	328.7466667
709.82	332.3877778
710.228	336.8088889
710.636	335.5077778
711.043	333.6866667
711.451	345.1288889
711.858	353.7111111
712.266	358.1322222
712.673	350.33
713.081	356.3122222
713.488	348.51
713.895	341.7488889
714.302	352.1511111
714.709	350.8511111
715.116	347.4711111
715.523	345.1311111
715.93	345.9122222
716.337	352.1533333
716.744	352.4133333
717.15	360.4755556
717.557	365.1566667
717.964	363.5966667
718.37	363.0766667
718.777	359.6955556
719.183	357.6144444
719.589	358.9144444
719.996	354.4944444
720.402	352.1533333
720.808	352.1533333
721.214	353.7133333
721.62	344.8711111
722.026	341.23
722.432	339.93
722.838	336.81
723.244	339.15
723.65	343.57
724.055	343.31
724.461	339.4088889
724.867	336.8088889
725.272	337.5888889
725.678	347.4711111
726.083	365.1544444
726.488	366.7144444
726.894	361.7733333
727.299	357.8733333
727.704	362.8144444
728.109	362.2944444
728.514	370.3555556
728.919	371.3966667
729.324	366.4555556
729.729	352.6722222
730.134	354.4922222
730.538	359.4333333
730.943	362.0333333
731.348	361.7733333
731.752	356.0522222
732.157	357.8733333
732.561	361.5133333
732.966	363.8544444
733.37	363.3344444
733.774	358.3933333
734.178	354.7533333
734.582	354.4933333
734.987	345.6511111
735.391	355.7933333
735.795	351.3722222
736.198	350.5922222
736.602	342.01
737.006	343.8311111
737.41	341.7511111
737.813	335.2488889
738.217	338.11
738.621	341.7511111
739.024	336.29
739.427	332.6488889
739.831	336.55
740.234	344.3522222
740.637	337.33
741.04	347.4722222
741.444	346.6922222
741.847	347.4722222
742.25	356.5744444
742.652	358.3944444
743.055	357.6144444
743.458	352.1533333
743.861	343.0511111
744.264	346.9522222
744.666	345.9122222
745.069	347.2122222
745.471	342.0111111
745.874	333.6888889
746.276	330.3077778
746.678	324.5866667
747.081	332.3888889
747.483	344.3511111
747.885	351.6333333
748.287	357.0944444
748.689	363.0766667
749.091	363.8566667
749.493	363.5966667
749.895	367.7577778
750.296	374.2588889
750.698	364.8966667
751.1	362.8166667
751.501	361.2555556
751.903	351.8933333
752.304	349.2922222
752.706	356.5733333
753.107	358.6544444
753.508	352.1533333
753.909	352.1533333
754.311	361.2555556
754.712	359.1744444
755.113	359.6944444
755.514	363.3355556
755.915	370.0966667
756.315	368.2766667
756.716	364.6355556
757.117	376.3377778
757.518	379.7188889
757.918	371.1366667
758.319	371.6566667
758.719	357.8733333
759.12	358.9133333
759.52	357.0933333
759.92	357.0933333
760.321	358.9133333
760.721	351.6322222
761.121	349.0311111
761.521	356.8322222
761.921	357.8733333
762.321	359.6944444
762.721	349.2922222
763.12	351.6322222
763.52	347.2111111
763.92	352.9322222
764.319	359.9533333
764.719	358.3933333
765.118	349.8122222
765.518	347.7311111
765.917	357.3533333
766.317	365.1544444
766.716	357.6133333
767.115	352.1522222
767.514	341.23
767.913	334.2088889
768.312	339.15
768.711	343.05
769.11	341.23
769.509	336.2888889
769.907	335.7688889
770.306	342.79
770.705	355.2733333
771.103	358.1344444
771.502	359.6944444
771.9	353.7133333
772.299	359.4355556
772.697	367.2366667
773.095	366.7166667
773.493	356.0544444
773.891	346.9522222
774.29	341.4911111
774.688	341.7511111
775.085	343.5722222
775.483	347.4733333
775.881	345.3922222
776.279	344.3522222
776.677	337.59
777.074	354.2344444
777.472	361.7766667
777.869	359.1755556
778.267	364.8966667
778.664	363.5955556
779.061	365.1555556
779.459	363.3355556
779.856	359.9555556
780.253	362.2966667
780.65	351.1133333
781.047	345.6522222
781.444	352.9333333
781.841	355.7944444
782.238	355.5344444
782.634	356.8344444
783.031	349.8122222
783.428	351.3722222
783.824	357.6133333
784.221	365.4155556
784.617	366.1955556
785.014	364.3755556
785.41	357.3533333
785.806	358.3944444
786.202	357.0944444
786.598	361.2555556
786.994	354.4933333
787.39	357.6144444
787.786	360.7344444
788.182	366.7155556
788.578	366.7155556
788.974	367.4955556
789.369	372.1755556
789.765	371.1355556
790.161	363.5944444
790.556	368.2755556
790.952	365.6744444
791.347	361.2544444
791.742	357.6144444
792.137	354.7544444
792.533	352.4144444
792.928	349.5544444
793.323	353.9755556
793.718	363.0777778
794.113	363.3388889
794.508	357.3577778
794.902	363.0788889
795.297	355.5366667
795.692	352.9355556
796.086	359.4366667
796.481	359.4366667
796.875	353.4544444
797.27	348.2522222
797.664	349.5522222
798.058	356.5733333
798.453	351.3722222
798.847	359.1744444
799.241	360.2144444
799.635	358.6544444
800.029	356.5733333
800.423	356.5733333
800.817	360.9944444
801.21	352.6722222
801.604	347.2111111
801.998	351.3722222
